trans-eff,die-off,shedding,infectivity,A(contact),P_T(min),P_T(avg),P_T(max),N_T(min),N_T(avg),N_T(max),Recover_cnt(avg),P_T/(P_T+N_T)
1.0,0.1353352832366127,1.0,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.6,0.0
1.0,0.1353352832366127,1.0,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.12,0.0
1.0,0.1353352832366127,2.718281828459045,1.0,735.7588823428847,2.0,2.45,3.2,284.7,284.90999999999997,285.0,0.13000000000000003,0.008525890868596883
1.0,0.1353352832366127,2.718281828459045,0.36787944117144233,735.7588823428847,2.0,2.25,3.7,283.3,284.83000000000004,285.1,1.95,0.007837536575170683
1.0,0.1353352832366127,2.718281828459045,0.1353352832366127,735.7588823428847,1.1,1.26,1.6,285.5,285.76000000000005,285.9,9.059999999999999,0.004389937983415789
1.0,0.1353352832366127,2.718281828459045,0.04978706836786395,735.7588823428847,0.0,0.05,0.2,286.8,286.95,287.0,4.86,0.00017421602787456446
1.0,0.1353352832366127,2.718281828459045,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.5,0.0
1.0,0.1353352832366127,7.3890560989306495,1.0,735.7588823428847,2.4,3.1,5.8,283.8,284.48999999999995,284.7,0.0,0.010779234326645574
1.0,0.1353352832366127,7.3890560989306495,0.36787944117144233,735.7588823428847,2.1,3.1799999999999997,4.8,284.0,284.61,285.0,0.23000000000000004,0.011049723756906075
1.0,0.1353352832366127,7.3890560989306495,0.1353352832366127,735.7588823428847,1.9,2.2,2.8,284.2,284.99999999999994,285.9,1.97,0.007660167130919222
1.0,0.1353352832366127,7.3890560989306495,0.04978706836786395,735.7588823428847,0.9,1.25,1.6,285.4,285.7700000000001,286.1,8.969999999999999,0.004355097205769631
1.0,0.1353352832366127,7.3890560989306495,0.018315638888734186,735.7588823428847,0.0,0.030000000000000006,0.1,286.9,286.97,287.0,4.55,0.0001045296167247387
1.0,0.1353352832366127,0.36787944117144233,1.0,735.7588823428847,0.8,1.3299999999999998,1.7,285.3,285.74,286.2,9.959999999999999,0.004633016337478663
1.0,0.1353352832366127,0.36787944117144233,0.36787944117144233,735.7588823428847,0.0,0.04,0.2,286.8,286.96,287.0,4.6899999999999995,0.00013937282229965157
1.0,0.1353352832366127,0.36787944117144233,0.1353352832366127,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.54,0.0
1.0,0.1353352832366127,0.36787944117144233,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.19,0.0
1.0,0.1353352832366127,0.36787944117144233,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.06,0.0
1.0,0.1353352832366127,0.1353352832366127,1.0,735.7588823428847,0.0,0.08,0.2,286.8,286.92999999999995,287.0,4.61,0.0002787359325459044
1.0,0.1353352832366127,0.1353352832366127,0.36787944117144233,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.63,0.0
1.0,0.1353352832366127,0.1353352832366127,0.1353352832366127,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.1900000000000004,0.0
1.0,0.1353352832366127,0.1353352832366127,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.0599999999999996,0.0
1.0,0.1353352832366127,0.1353352832366127,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.0,0.0
1.0,0.04978706836786395,1.0,1.0,735.7588823428847,2.1,2.63,3.7,284.0,284.71,285.0,1.73,0.009152919885849516
1.0,0.04978706836786395,1.0,0.36787944117144233,735.7588823428847,1.7,2.02,2.4,285.0,285.16999999999996,285.3,7.26,0.007033671088826214
1.0,0.04978706836786395,1.0,0.1353352832366127,735.7588823428847,0.2,0.42000000000000004,0.8,286.3,286.59000000000003,286.8,7.580000000000001,0.0014633636458659977
1.0,0.04978706836786395,1.0,0.04978706836786395,735.7588823428847,0.0,0.04,0.2,286.9,286.96999999999997,287.0,3.44,0.00013936796627295216
1.0,0.04978706836786395,1.0,0.018315638888734186,735.7588823428847,0.0,0.01,0.1,286.9,286.99,287.0,2.3,3.484320557491289e-05
1.0,0.04978706836786395,2.718281828459045,1.0,735.7588823428847,2.1,3.62,5.3,283.0,284.46000000000004,285.7,0.16000000000000003,0.012565953901693972
1.0,0.04978706836786395,2.718281828459045,0.36787944117144233,735.7588823428847,2.0,2.6,4.0,284.2,285.07000000000005,286.0,1.6,0.00903813397295512
1.0,0.04978706836786395,2.718281828459045,0.1353352832366127,735.7588823428847,1.8,2.08,2.5,284.7,285.01,285.2,8.03,0.007245114772371035
1.0,0.04978706836786395,2.718281828459045,0.04978706836786395,735.7588823428847,0.1,0.4699999999999999,0.8,286.3,286.56,286.9,8.63,0.001637459499007072
1.0,0.04978706836786395,2.718281828459045,0.018315638888734186,735.7588823428847,0.0,0.05,0.2,286.8,286.95,287.0,3.6699999999999995,0.00017421602787456446
1.0,0.04978706836786395,7.3890560989306495,1.0,735.7588823428847,2.0,4.54,5.9,282.8,283.64,285.0,0.01,0.015754042612256228
1.0,0.04978706836786395,7.3890560989306495,0.36787944117144233,735.7588823428847,2.4,3.55,5.2,283.5,284.38,284.9,0.15999999999999998,0.012329385614559093
1.0,0.04978706836786395,7.3890560989306495,0.1353352832366127,735.7588823428847,2.1,2.7100000000000004,3.3,284.0,284.75,285.0,1.78,0.009427398594587076
1.0,0.04978706836786395,7.3890560989306495,0.04978706836786395,735.7588823428847,1.4,1.9600000000000002,2.6,284.7,285.23999999999995,286.2,7.380000000000001,0.006824512534818944
1.0,0.04978706836786395,7.3890560989306495,0.018315638888734186,735.7588823428847,0.2,0.41000000000000003,0.6,286.4,286.59999999999997,286.8,8.030000000000001,0.0014285216542977597
1.0,0.04978706836786395,0.36787944117144233,1.0,735.7588823428847,1.7,2.0,2.4,284.8,285.06000000000006,285.3,7.42,0.006967184560719012
1.0,0.04978706836786395,0.36787944117144233,0.36787944117144233,735.7588823428847,0.2,0.38,0.7,286.3,286.63,286.8,7.83,0.0013239956795930456
1.0,0.04978706836786395,0.36787944117144233,0.1353352832366127,735.7588823428847,0.0,0.02,0.1,286.9,286.98,287.0,3.4099999999999993,6.968641114982578e-05
1.0,0.04978706836786395,0.36787944117144233,0.04978706836786395,735.7588823428847,0.0,0.01,0.1,286.9,286.99,287.0,2.25,3.484320557491289e-05
1.0,0.04978706836786395,0.36787944117144233,0.018315638888734186,735.7588823428847,0.0,0.01,0.1,286.9,286.99,287.0,2.1100000000000003,3.484320557491289e-05
1.0,0.04978706836786395,0.1353352832366127,1.0,735.7588823428847,0.3,0.51,0.8,286.2,286.5,286.8,8.440000000000001,0.00177694156998014
1.0,0.04978706836786395,0.1353352832366127,0.36787944117144233,735.7588823428847,0.0,0.030000000000000006,0.2,286.8,286.96999999999997,287.0,3.3099999999999996,0.00010452961672473872
1.0,0.04978706836786395,0.1353352832366127,0.1353352832366127,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.34,0.0
1.0,0.04978706836786395,0.1353352832366127,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.15,0.0
1.0,0.04978706836786395,0.1353352832366127,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.1,0.0
1.0,0.018315638888734186,1.0,1.0,735.7588823428847,2.0,2.8600000000000003,3.8,284.1,284.7,285.0,1.56,0.009945750452079566
1.0,0.018315638888734186,1.0,0.36787944117144233,735.7588823428847,1.9,2.1799999999999997,2.9,284.4,284.96,285.1,6.410000000000001,0.007592115344431287
1.0,0.018315638888734186,1.0,0.1353352832366127,735.7588823428847,0.7,0.9099999999999999,1.4,285.7,286.10999999999996,286.3,9.83,0.0031705107658002926
1.0,0.018315638888734186,1.0,0.04978706836786395,735.7588823428847,0.0,0.05,0.1,286.9,286.95,287.0,4.09,0.00017421602787456446
1.0,0.018315638888734186,1.0,0.018315638888734186,735.7588823428847,0.0,0.02,0.1,286.9,286.98,287.0,2.63,6.968641114982578e-05
1.0,0.018315638888734186,2.718281828459045,1.0,735.7588823428847,2.1,3.5100000000000002,5.6,283.1,284.15,285.0,0.19,0.012201905026767714
1.0,0.018315638888734186,2.718281828459045,0.36787944117144233,735.7588823428847,2.0,2.66,3.7,284.0,284.71999999999997,285.0,1.64,0.009256037302526273
1.0,0.018315638888734186,2.718281828459045,0.1353352832366127,735.7588823428847,1.8,2.16,2.6,284.6,284.96999999999997,285.2,6.119999999999999,0.007522724898129767
